station_naptan,naptan_id,ics_code,name,zone,lat,lon,modes
940GZZDLABR,4900ZZDLABR0,1003006,Abbey Road DLR Station,2/3,51.53209,0.00383,dlr
940GZZLUACT,4900ZZLUACT1,1000002,Acton Town Station,3,51.50301,-0.28042,tube
940GZZCRADV,4900ZZCRADV,1002001,Addington Village,,51.35649,-0.0324,tram
940GZZCRADD,4900ZZCRADD0,1002002,Addiscombe,,51.37948,-0.07307,tram
940GZZLUADE,4900ZZLUADE1,1000004,Aldgate East Station,1,51.5153,-0.07208,tube
940GZZLUALD,4900ZZLUALD1,1000003,Aldgate Station,1,51.51405,-0.07528,tube
940GZZDLALL,4900ZZDLALL1,1002003,All Saints,2,51.51113,-0.01291,dlr
940GZZLUALP,4900ZZLUALP1,1000005,Alperton Station,4,51.54063,-0.29913,tube
,HUBAMR,1000006,Amersham,9,51.674207,-0.60759,bus;national-rail;tube
940GZZLUAMS,0400ZZLUAMS0,1000006,Amersham Underground Station,9,51.674206,-0.607362,tube
940GZZCRAMP,4900ZZCRAMP0,1002004,Ampere Way,,51.38214,-0.12344,tram
940GZZLUAGL,4900ZZLUAGL1,1000007,Angel Station,1,51.53184,-0.10635,tube
940GZZLUACY,4900ZZLUACY1,1000008,Archway Station,2+3,51.56568,-0.13493,tube
940GZZCRARA,4900ZZCRARA0,1002005,Arena Tram Stop,,51.38961,-0.05626,tram
940GZZLUASG,4900ZZLUASG1,1000009,Arnos Grove Station,4,51.61606,-0.1334,tube
940GZZLUASL,4900ZZLUASL1,1000010,Arsenal,2,51.5584,-0.10568,tube
940GZZCRAVE,4900ZZCRAVE1,1002006,Avenue Road,,51.40689,-0.04888,tram
940GZZLUBST,4900ZZLUBST1,1000011,Baker Street Station,1,51.52246,-0.15695,tube
,HUBBAL,1000012,Balham,3,51.443259,-0.152707,bus;national-rail;tube
940GZZLUBLM,4900ZZLUBLM1,1000012,Balham Station  / Balham Station Road,3,51.44323,-0.15294,tube
,HUBBAN,1000013,Bank,1,51.513395,-0.089095,bus;dlr;tube
